trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
46,1,3.0,102.1609859354794,102.66115571372211,102.66115571372211,102.66115571372211,102.96038673631847,3.0,1,0.5598790198564529,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
47,1,3.0,103.24347689934075,103.7432049009949,103.7432049009949,103.7432049009949,104.04304658994079,-3.0,1,0.8276821002364159,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
48,1,2.0,104.59227583557367,105.09201850183308,105.09201850183308,105.09201850183308,105.39156330376863,2.0,1,1.4870075955986977,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
49,1,2.0,106.60720469802618,107.10694114305079,107.10694114305079,107.10694114305079,107.4064979441464,2.0,1,1.0177879855036736,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
50,1,2.0,108.15584949962795,108.65590861067176,108.65590861067176,108.65590861067176,108.95514230057597,2.0,1,1.3050639182329178,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
51,1,1.0,109.98760535567999,110.48740135505795,110.48740135505795,110.48740135505795,110.78694660030305,1.0,1,1.2211027350276709,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
52,1,1.0,111.73606091365218,112.23586891405284,112.23586891405284,112.23586891405284,112.53534749150276,1.0,1,1.8297674302011728,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
53,1,1.0,114.08420429378748,114.58376162871718,114.58376162871718,114.58376162871718,114.88324953988194,-1.0,1,0.7818519603461027,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
54,1,1.0,115.38289309665561,115.8826393187046,115.8826393187046,115.8826393187046,116.18218945339322,-1.0,1,0.9593009781092405,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
55,1,1.0,116.86485268361866,117.36469846218824,117.36469846218824,117.36469846218824,117.66416192986071,-1.0,1,1.39619842171669,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
56,1,1.0,118.77989950217307,119.27963861264288,119.27963861264288,119.27963861264288,119.57916652597487,1.0,1,0.9078472908586264,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
57,1,1.0,120.21199562214315,120.71175028942525,120.71175028942525,120.71175028942525,121.01126442290843,1.0,1,0.906563738361001,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
58,1,1.0,121.64413752034307,122.14384685456753,122.14384685456753,122.14384685456753,122.443438321352,-1.0,1,0.8750349059700966,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
